IMAGE #,SPEAKER 1l,SPEAKER 2,SPEAKER 1,SPEAKER 2,SPEAKER 1
3676,"A group of white people, men and women, are in the streets.","They all are headed somewhere, each one minding own business.",Amidst the crowd a black vehicle is parked off the road.,There are highs and lows in the town roads where the crowd is all over.,A certain woman is in a blue trouser passing beside the parked car.
3677,Sports women are colorfully dressed up for the event.,"Some  racing women are in black, red, blue, and sports sunglasses.",One of them in front wearing black looks tired already.,"Racing games are tricky to most people, this is why only a few participate.","And the attire differs, another woman is in a blue cap and sports sunglasses."
3678,A tourists' like group of people is by the road side watching some black gentlemen showcasing their jumping skills.,"Some of the gentlemen are leaning downwards, while one is jumping across them, and the last is with his head upsidedown.",In the audience a man in a white shirt is holding a camera.,"Surely, and the fact that they all are in the sun some are in caps, hats, or sunglasses though most of them are without anything still.","There are also trees around the buildings in the background, as this is within the central business district of town.  "
3679,A dog of black and white feathers is biting the log.,"The dog is near the water furrow, suspiciously looking at the flow.",This trench is likely to have been made full of rain water.,"As one may not notice, the flowing water headed to the trees makes it a furrow. ","Indeed one would be wondering what it is, there are also dry leaves falling to the ground."
3680,A white lady with books in her hands is silencing other library users from noise making.,"She is getting some books from the shelf, in sunglasses and a short pant.",Also in a white shirt with a redish neckerchief around the neck.,"Her short pant is such that it does not touch the knees, as she seems to be the librarian. ","There are books of different kinds on the shelves behind her, a good library is known for its variety."
3681,Airport workmen are in work reflective coats near an aeroplane.,"Their outfit looks like the engineering Department, one among them is in a black head sock.",They are wearing white shirts inside the green reflective coats.,"Red cables are connecting to the plane from the machine below, as this plane is under repairing.","The floor at the airport grounds is painted with white lines or marks, these are visible enough to both the pilot and other staffs."
3682,Two African women are by the market holding their yellowish sacks.,"There is a crowd of people around and behind, as this is a market place.",One woman is stopping for her yellowish sack.,"Seeing how these plastic bags look, I'm reminded of pedestrian sellers. ",While one woman is covering her head the other one is just with platted hair.
3683,A darkish gentleman is leaning towards the concrete pillar by the railway station.,"He is playing the silver drum with a cap, on the left side of the pathway is a group of people passing.",A certain man among the passerbys is wearing a yellow trouser.,But in front of the drummer appears enough space for those the passing crowd.,A white lady is among the passerbys and she is just behind a certain man walking ahead.
3684,A darkish gentleman is standing next to a white 3 wheel cart.,"Nearby other vehicles, he is putting his hands in pockets with a small bag.","He is wearing a black short pant, near him a white car parked around the pedestrian crossing.",Beyond the white cart people are moving towards the end of the zebra crossing.,They are leaving behind some tall buildings which have different color paints.
3685,A girl child in a colorful hair cover is playing with plastic rings of different colors. ,"Among them some green, orange, blue, and yellow in that order.",There is a red chair also behind the child.,"Although this child is seemingly home alone, she is playing calmly with the wooden stand of rings.",She is so relaxed as if it is some important work this child is doing.
3686,An old white man is packing his chairs properly in a dish like carrier.,He is standing by the way side while he packs.,"And he has a moog haircut, with no hair in the sides but only on the head.","At first sight one would see properly this haircut, especially that he is leaning.","There are buildings on the other side of pathway, behind him and across the street."
3687,An Asian Indian boy is swimming in the river.,He is swimming on his back while coming up the water.,"The smile tells more than words can, enjoying the water all by himself.","Childhood is a fun milestone, at times my friends and I went swimming too.",Like every deep sea the water looks dark green as it is deep enough.
3688,A young boy in baseball sports attire is also wearing a helmet to shield his head from injuries.,"With fans around the fence, the boy has swung his stick to strike the baseball off the home plate.","Both men and women are by the wire fence to watch the game, but a certain man watches with focus on the boy's skills. ","In fact this man in a short with his hands in the pockets, is with a friend in a trouser with his arms around his waist line.","In the shelter just near the play ground, other kids in baseball sports attire are on the bench to participate in the game."
3689,"A white man with his colleagues, laughing at how he tries on a black t-shirt.","Hahaha laughing at the unknown, these folks can make one wonder why the laughter though.","Just looking at the bald headed man's laughter, you cannot dare not laughing along.","Hilarious, probably they looked at his belly and the t-shirt he is pulling down to fit in.","I'm sure that is just it, in the picture there is another man with gray hair."
3690,A white man is colorfully dressed.,This boy with drumming sticks in his hands is kind of a brass band member.,He is posed to be photographed with the photographer's cheese.,"There are two cars parked behind him, one is white and the other one is black.","Also trees around the carpark, with buildings all over the street in front of the cars."
3691,Two little girls are by the pool in redish swimming costumes..,The older one has small tight eyes and both are looking to the camera.,While the girl in front has tight eyes the younger one has her eyes popped up.,"And because both of them are in the same swimming costumes, you may think they are twins.",They also have their hair tide backwards.
3692,A brownish dog is opened the mouth while running.,With a neckband the dog is running towards somebody.,Surely dogs waggle their tails when they see someone come back home.,"The dog's feathers are so tidy and clean, the owner must be hygienic.","Imagine how beautiful it looks, and it is coming down a plank staircase of the veranda."
3693,A little boy in a black jersey is playing football in the ground.,He has kicked up the ball with a hard kick of his last score.,"His cleats have a red color down the feet, he has short hair too.",The playing ground is quiet without any fans to cheer up for this boy.,"It was a training ground this day, the reason why there is no one to ululate."
3694,A little boy in blue short pant is sliding onto the water balloon. ,"With the hands up and long hair, this child is more likely a girl than a boy.","This slider is of a yellow color, while the water looks blueish.",S/he is jumped on the peach and greenish swimming balloons.,The fence of the play park is surrounded by green plants including beautiful flowers around.
3695,A white young lady is bending to look into the microscope.,Two of her friends are standing by to look into the microscope too.,"With long black hair, this young lady is flapped her hand on the shoulder.",The lab table also has a tray of eggs as part of the specimens.,The closest friend to the one looking into the microscope seems shocked at the lab equipments.
3696,A darkish little boy in green tracksuit is lifted up his hands.,"Another boy next to the lady is wearing the same, either this is a school or Church uniform.",His top is labeled with a big number 5.,"There is a paper with words HYMNS OF THE WEEK on the wall, nearby the lady carrying a baby.",In front of the children are small garden chairs of assorted colors.
3697,A man in black is boat cruising on the river.,"And he is fearlessly speedy, this man is not hydrophobic.",While splashing the waters behind they appear greenish.,The splashed water forms waves because the boat skipped like motorbikes.,This river is as deep as the sea with darker than clear waters of swimming pools.
3698,A little girl in a white robe is smiled at the camera.,Her hands with red dots are carrying a silver trophy.,She is standing before the red door made of planks.,"On top of her trophy there is a karate doll, and this is a karate robe she is in.",The walls of this house she is in are painted with a white color.
3699,"A white lady, appearing pregnant, is seated on chair.","Hahaha I doubt if pregnant, she is just folding one leg. ",But she does not look like having folded legs.,It is a leg she has put backwards that gives a pregnancy gesture.,"Anyway, this lady with much long hair is in a white painted room with chairs around."
3700,A white man is in a green shirt repairing the lift.,The glass up his head shows another man on the upper floor.,The man on the upper floor seems to walk on stairs.,"A closer look, though, suggests he is working along with gloves. ","This building is painted red on everything, both steel metal and the doors. "
